大会名,公式サイトURL,開催日,開催地,都道府県
第15回 世界ジオパークトレラン＆クロカン（神鍋高原）,https://www.actrep-sports.com/geopark-kannabe/,2026.8.16(日),兵庫県豊岡市,兵庫県
【開催中止】さようマラソン,https://sayo-m.com/,2026.12.7(月),兵庫県佐用町,兵庫県
第47回白糠町ロードレース大会,https://shiranukarikkyo.webnode.jp/,2026.3.22(日),北海道白糠町,北海道
苫小牧チャレンジマラソン2026,http://www.kamakurun.jp/tochigiken-getsurei,2026.4.5(日),北海道苫小牧市,北海道
第39回春一番伊達ハーフマラソン,http://datehalfmarathon.jp/,2026.4.19(日),北海道伊達市,北海道
2026大沼enjoyリレーマラソン～第73回大沼湖畔駅伝競走大会～,https://www.town.nanae.hokkaido.jp/education/detail/00014686.html,2026.4.29(水),北海道七飯町,北海道
第1回 ぴあ さっぽろ豊平川ハーフマラソン2026,https://pia-running.jp/toyohiragawa/,2026.5.3(日),北海道札幌市,北海道
第9回 春のさわやかマラソン,https://ameblo.jp/npo-h-lspa/entry-12956268565.html,2026.5.5(火),北海道札幌市,北海道
第74回なよろ憲法記念ハーフマラソン,http://www.city.nayoro.lg.jp/section/sportscamp/prkeql000002u5bp.html,2026.5.9(土),北海道名寄市,北海道
ノーザンホースパーク駅伝2026,https://www.nhp-marathon.com/ekiden/,2026.5.16(土),北海道苫小牧市,北海道
ANA洞爺湖マラソン2026,https://www.toyako-marathon.jp/,2026.5.17(日),北海道洞爺湖町,北海道
ノーザンホースパークマラソン2026,https://www.nhp-marathon.com/outline/,2026.5.17(日),北海道苫小牧市,北海道
札幌あおぞらマラソン2026 スプリング大会,https://aozorarun.com/lp/20260524sm-s/,2026.5.24(日),北海道札幌市,北海道
カムイの杜トレイルラン2026,https://kamusi26.trailscene.net/,2026.5.24(日),北海道旭川市,北海道
第24回利尻島一周悠遊覧人G,https://www.town.rishirifuji.hokkaido.jp/rishirifuji/1130.htm,2026.6.7(日),北海道利尻富士町,北海道
【開催中止】第46回千歳JAL国際マラソン,https://chitose-jal-marathon.jp/,2026.6.7(日),北海道千歳市,北海道
丘のまちびえいヘルシーマラソン2026,https://www.biei-healthymarathon.jp/,2026.6.14(日),北海道美瑛町,北海道
マムートCUPサッポロ・テイネトレイル2026,https://www.fields-co.jp/teine/,2026.6.14(日),北海道札幌市,北海道
第38回おたる運河ロードレース大会,https://www.city.otaru.lg.jp/docs/2025111200024/,2026.6.21(日),北海道小樽市,北海道
第41回サロマ湖100kmウルトラマラソン,https://saromanblue.jp/,2026.6.28(日),北海道湧別町、佐呂間町、北見市,北海道
2026函館マラソン2026 Hakodate Marathon,https://hakodate-marathon.jp/,2026.6.28(日),北海道函館市,北海道
